NAMESPACE                                                  LAST SEEN   TYPE      REASON                  OBJECT                                                 MESSAGE
um                                                         27s         Warning   BackOff                 pod/user-profile-7f54c87f6c-g22p4                      Back-off restarting failed container
rm                                                         4m8s        Normal    ArtifactUpToDate        helmrepository/eoepca                                  artifact up-to-date with remote revision: 'ebc91c1b2e3a23da318cc2d2ba6e7e77dd6cf8ff24e1dfd67cfc22d012f89ece'
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   61s         Normal    ExternalProvisioning    persistentvolumeclaim/volume-output-data               waiting for a volume to be created, either by external provisioner "k8s.io/minikube-hostpath" or manually created by system administrator
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   61s         Normal    Provisioning            persistentvolumeclaim/volume-output-data               External provisioner is provisioning volume for claim "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f/volume-output-data"
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   61s         Normal    ProvisioningSucceeded   persistentvolumeclaim/volume-output-data               Successfully provisioned volume pvc-adbdedbd-da59-4bf5-ac3a-8cc8f1d6d741
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   61s         Normal    ExternalProvisioning    persistentvolumeclaim/volume-tmpout                    waiting for a volume to be created, either by external provisioner "k8s.io/minikube-hostpath" or manually created by system administrator
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   61s         Normal    Provisioning            persistentvolumeclaim/volume-tmpout                    External provisioner is provisioning volume for claim "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f/volume-tmpout"
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   61s         Normal    ProvisioningSucceeded   persistentvolumeclaim/volume-tmpout                    Successfully provisioned volume pvc-0b0a8ff4-8c46-4195-96ad-819f4543c929
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   60s         Normal    Scheduled               pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Successfully assigned hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl to eoepca
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   60s         Normal    SuccessfulCreate        job/wf-3015d57e-6101-11ee-94c1-0242ac11000f            Created pod: wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   59s         Normal    Started                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Started container calrissian
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   59s         Normal    Created                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Created container calrissian
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   59s         Normal    Pulled                  pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Container image "terradue/calrissian:0.12.0" already present on machine
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   59s         Normal    Pulling                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Pulling image "bitnami/kubectl"
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   51s         Normal    Pulled                  pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Successfully pulled image "bitnami/kubectl" in 7.335814829s
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   50s         Normal    Created                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Created container sidecar-container-usage
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   50s         Normal    Started                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-5qndl   Started container sidecar-container-usage
