um                                                      3m35s       Warning   BackOff                 pod/user-profile-7f54c87f6c-g22p4                      Back-off restarting failed container
rm                                                      76s         Normal    ArtifactUpToDate        helmrepository/eoepca                                  artifact up-to-date with remote revision: 'ebc91c1b2e3a23da318cc2d2ba6e7e77dd6cf8ff24e1dfd67cfc22d012f89ece'
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   58s         Normal    ProvisioningSucceeded   persistentvolumeclaim/volume-output-data               Successfully provisioned volume pvc-5bb1bcf9-4a0d-41a5-9cb6-bd8cbba088f2
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   58s         Normal    ProvisioningSucceeded   persistentvolumeclaim/volume-tmpout                    Successfully provisioned volume pvc-26845418-f286-4417-887a-c9136e770b93
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   58s         Normal    ExternalProvisioning    persistentvolumeclaim/volume-tmpout                    waiting for a volume to be created, either by external provisioner "k8s.io/minikube-hostpath" or manually created by system administrator
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   58s         Normal    Provisioning            persistentvolumeclaim/volume-tmpout                    External provisioner is provisioning volume for claim "convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f/volume-tmpout"
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   58s         Normal    ExternalProvisioning    persistentvolumeclaim/volume-output-data               waiting for a volume to be created, either by external provisioner "k8s.io/minikube-hostpath" or manually created by system administrator
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   58s         Normal    Provisioning            persistentvolumeclaim/volume-output-data               External provisioner is provisioning volume for claim "convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f/volume-output-data"
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   28s         Normal    SuccessfulCreate        job/wf-a19432f4-6101-11ee-8751-0242ac11000f            Created pod: wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   28s         Normal    Scheduled               pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Successfully assigned convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58 to eoepca
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   27s         Normal    Pulled                  pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Container image "terradue/calrissian:0.12.0" already present on machine
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   26s         Normal    Started                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Started container calrissian
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   26s         Normal    Created                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Created container calrissian
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   26s         Normal    Pulling                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Pulling image "bitnami/kubectl"
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   25s         Normal    Pulled                  pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Successfully pulled image "bitnami/kubectl" in 1.182037921s
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   25s         Normal    Pulling                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Pulling image "bitnami/kubectl"
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   25s         Normal    Started                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Started container sidecar-container-usage
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   25s         Normal    Created                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Created container sidecar-container-usage
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   24s         Normal    Created                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Created container sidecar-container-output
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   24s         Normal    Pulled                  pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Successfully pulled image "bitnami/kubectl" in 1.153811017s
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   23s         Normal    Scheduled               pod/convert-pod-pbmgfqfe                               Successfully assigned convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f/convert-pod-pbmgfqfe to eoepca
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   23s         Normal    Started                 pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   Started container sidecar-container-output
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   22s         Normal    Pulling                 pod/convert-pod-pbmgfqfe                               Pulling image "eoepca/convert:latest"
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   21s         Normal    Pulled                  pod/convert-pod-pbmgfqfe                               Successfully pulled image "eoepca/convert:latest" in 1.157608649s
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   20s         Normal    Created                 pod/convert-pod-pbmgfqfe                               Created container convert-container
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   20s         Normal    Started                 pod/convert-pod-pbmgfqfe                               Started container convert-container
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   19s         Normal    Scheduled               pod/node-stage-out-pod-gfmvasps                        Successfully assigned convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f/node-stage-out-pod-gfmvasps to eoepca
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   18s         Normal    Pulled                  pod/node-stage-out-pod-gfmvasps                        Container image "terradue/stars:2.3.1" already present on machine
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   18s         Normal    Created                 pod/node-stage-out-pod-gfmvasps                        Created container node-stage-out-container
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   18s         Normal    Started                 pod/node-stage-out-pod-gfmvasps                        Started container node-stage-out-container
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   8s          Warning   FailedMount             pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   MountVolume.SetUp failed for volume "pod-env-vars" : object "convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f"/"pod-env-vars" not registered
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   8s          Warning   FailedMount             pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   MountVolume.SetUp failed for volume "pod-nodeselectors" : object "convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f"/"pod-nodeselectors" not registered
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   8s          Warning   FailedMount             pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   MountVolume.SetUp failed for volume "kube-api-access-q5l6v" : object "convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f"/"kube-root-ca.crt" not registered
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   8s          Normal    Completed               job/wf-a19432f4-6101-11ee-8751-0242ac11000f            Job completed
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   8s          Warning   FailedMount             pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   MountVolume.SetUp failed for volume "cwl-config-volume" : object "convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f"/"cwl-config" not registered
convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f   8s          Warning   FailedMount             pod/wf-a19432f4-6101-11ee-8751-0242ac11000f--1-9ft58   MountVolume.SetUp failed for volume "inputs-config-volume" : object "convert-url-0-1-2a19432f4-6101-11ee-8751-0242ac11000f"/"inputs-config" not registered
